match_date,home_odds,away_odds,H_win_index,draw_odds,result,goal_difference,SOT_difference,total_goal,over_2_5_odds,under_2_5_odds,over_under_2_5_index
2/10/2021,1.45,7.5,5.172414,4.33,D,0,4,2,1.8,2,1.111111
2/10/2021,1.36,9,6.617647,4.75,H,2,7,4,1.8,2,1.111111
2/10/2021,1.7,4.75,2.794118,4,H,1,3,1,1.66,2.2,1.325301
27/9/2021,3.1,2.45,0.790323,3.2,D,0,-1,2,2.3,1.61,0.7
26/9/2021,2.62,2.8,1.068702,3.2,A,-1,3,1,2.1,1.72,0.819048
26/9/2021,2.15,3.5,1.627907,3.3,H,2,3,4,2,1.8,0.9
25/9/2021,2.62,2.75,1.049618,3.2,A,-1,-4,1,2.1,1.72,0.819048
25/9/2021,2.2,3.3,1.5,3.4,D,0,-2,2,2,1.8,0.9
25/9/2021,1.61,5.75,3.571429,3.8,H,2,2,2,1.9,1.9,1
25/9/2021,1.57,6,3.821656,4,D,0,2,4,1.9,1.9,1
25/9/2021,7,1.45,0.207143,4.5,D,0,-2,6,1.72,2.1,1.22093
25/9/2021,1.36,8,5.882353,5.25,A,-1,1,1,1.57,2.37,1.509554
25/9/2021,3,2.25,0.75,3.6,A,-1,-2,3,1.57,2.37,1.509554
19/9/2021,2.7,2.75,1.018519,3.2,H,1,2,3,2.1,1.72,0.819048
19/9/2021,5,1.7,0.34,3.8,A,-3,-8,3,2,1.8,0.9
19/9/2021,4.33,1.75,0.404157,4,A,-1,-6,3,1.66,2.2,1.325301
18/9/2021,1.83,5,2.73224,3.25,A,-2,-3,2,2.5,1.53,0.612
18/9/2021,2.15,3.5,1.627907,3.3,A,-2,-3,4,2.1,1.72,0.819048
18/9/2021,3.8,1.95,0.513158,3.6,A,-1,0,1,2,1.8,0.9
18/9/2021,2.4,3,1.25,3.3,H,3,2,3,2,1.8,0.9
18/9/2021,1.2,9.99,8.325,7,H,3,8,3,1.5,2.62,1.746667
18/9/2021,1.12,9.99,8.919643,9.5,D,0,-1,0,1.36,3.2,2.352941
17/9/2021,3,2.3,0.766667,3.6,D,0,-2,2,1.61,2.3,1.428571
13/9/2021,1.7,5,2.941176,3.75,H,2,0,4,2,1.8,0.9
12/9/2021,4.33,1.75,0.404157,4,A,-3,-5,3,1.57,2.37,1.509554
11/9/2021,2.8,2.62,0.935714,3.2,A,-1,-1,1,2.5,1.53,0.612
11/9/2021,3.4,2.25,0.661765,3.2,A,-2,-3,2,2.3,1.61,0.7
11/9/2021,4.2,1.9,0.452381,3.5,H,3,3,3,2.1,1.72,0.819048
11/9/2021,1.28,9.99,7.804688,5.5,H,3,-2,3,1.8,2,1.111111
11/9/2021,1.5,6,4,4.6,H,1,6,1,1.72,2.1,1.22093
11/9/2021,6,1.57,0.261667,4,A,-1,-7,1,1.72,2.1,1.22093
11/9/2021,2.9,2.4,0.827586,3.5,D,0,0,0,1.72,2.1,1.22093
11/9/2021,1.18,9.99,8.466102,7.5,H,3,4,5,1.44,2.75,1.909722
29/8/2021,5,1.75,0.35,3.5,A,-1,3,1,2,1.8,0.9
29/8/2021,1.36,9,6.617647,4.75,H,1,6,1,1.8,2,1.111111
29/8/2021,3.1,2.25,0.725806,3.5,D,0,1,2,1.72,2.1,1.22093
28/8/2021,2.3,3.3,1.434783,3.2,A,-2,-2,2,2.2,1.66,0.754545
28/8/2021,2.45,2.9,1.183673,3.3,D,0,4,2,2,1.8,0.9
28/8/2021,1.95,3.8,1.948718,3.6,D,0,3,2,1.9,1.9,1
28/8/2021,1.55,6.5,4.193548,4,D,0,2,4,1.9,1.9,1
28/8/2021,4.5,1.85,0.411111,3.5,A,-1,1,3,1.8,2,1.111111
28/8/2021,2.5,2.8,1.12,3.4,D,0,-1,4,1.85,2.05,1.108108
28/8/2021,1.25,9.99,7.992,6,H,5,10,5,1.57,2.37,1.509554
23/8/2021,2.5,2.75,1.1,3.5,H,3,6,5,1.8,2,1.111111
22/8/2021,3.2,2.35,0.734375,3.2,A,-1,0,1,2.2,1.66,0.754545
22/8/2021,4.75,1.72,0.362105,3.75,A,-2,-2,2,2.1,1.72,0.819048
22/8/2021,5.5,1.57,0.285455,4.2,D,0,-1,2,1.72,2.1,1.22093
21/8/2021,2.55,2.87,1.12549,3.2,D,0,-1,0,2.3,1.61,0.7
21/8/2021,1.7,5.75,3.382353,3.5,H,2,2,2,2.2,1.66,0.754545
21/8/2021,1.8,4.33,2.405556,3.75,H,2,1,2,1.72,2.1,1.22093
21/8/2021,2.37,3,1.265823,3.4,D,0,-4,4,1.72,2.1,1.22093
21/8/2021,1.18,9.99,8.466102,7.5,H,2,6,2,1.53,2.5,1.633987
21/8/2021,1.08,9.99,9.25,9.99,H,5,4,5,1.33,3.4,2.556391
15/8/2021,3.2,2.2,0.6875,3.5,A,-2,-6,6,1.99,1.94,0.974874
15/8/2021,5.5,1.6,0.290909,4.2,H,1,-1,1,1.89,2.04,1.079365
14/8/2021,3.1,2.45,0.790323,3.1,A,-1,-5,3,2.5,1.53,0.612
14/8/2021,1.9,4,2.105263,3.5,H,2,3,4,2,1.8,0.9
14/8/2021,3.1,2.37,0.764516,3.2,H,1,5,5,2,1.8,0.9
14/8/2021,1.66,5.25,3.162651,3.8,H,1,2,1,2.09,1.84,0.880383
14/8/2021,1.25,9.99,7.992,5.75,H,3,5,3,1.8,2,1.111111
14/8/2021,1.53,5.75,3.75817,4.5,H,4,5,6,1.61,2.3,1.428571
14/8/2021,9,1.3,0.144444,5.75,A,-3,-5,3,1.53,2.5,1.633987
13/8/2021,4,1.95,0.4875,3.4,H,2,-1,2,2.1,1.72,0.819048
23/5/2021,1.57,5.25,3.343949,4.33,H,2,4,2,1.72,2.1,1.22093
23/5/2021,2.8,2.4,0.857143,3.6,H,1,0,1,1.72,2.1,1.22093
23/5/2021,2.5,2.7,1.08,3.5,A,-1,0,3,1.72,2.1,1.22093
23/5/2021,6.5,1.45,0.223077,4.6,H,1,-4,3,1.66,2.2,1.325301
23/5/2021,2.05,3.3,1.609756,3.8,A,-2,-4,2,1.61,2.3,1.428571
23/5/2021,1.44,6.5,4.513889,5,H,5,8,5,1.61,2.3,1.428571
23/5/2021,1.65,5,3.030303,4,H,3,2,3,1.61,2.3,1.428571
